object_1,object_2,similarity,connection
взрыв на нагибина,взрывы,0.88053954,
дтп,место дтп,0.8805302,
использование скрытых камер,работа камер видеонаблюдения,0.8805243,
угроза безопасности,обеспечение безопасности,0.88052285,
работа коммунальных служб по уборке снега,уборка снега вокруг тц дуван,0.8805154,
отключение электричества в общагах юфу,отключение электричества в кампусе юфу,0.8805105,
сбитый беспилотник,действия сша по запуску дронов,0.8804933,
прикорм для детей,альтернативное детское питание,0.88047886,
матвей,зацеперы,0.88047236,
состояние города,состояние города и работа администрации,0.88044804,
сбитый беспилотник,методы противодействия дронам,0.88042414,
безопасность района красноармейская,меры безопасности на улице красноармейской,0.88040704,
количество камер видеофиксации,количество камер видеофиксации нарушений пдд,0.8803657,
конфессия русская,история новороссийска,0.8803445,
фирма по вывозу мусора,график работы компании по вывозу мусора,0.8803282,
кинопремьеры 2026 года,характеристика глав субъектов рф,0.88030314,
отечественное кино,пересъемка старых фильмов/сказок,0.88029706,
дороги осипенко/репин,спектакли московского театра,0.8802835,
проблема вывоза мусора,работа компании по вывозу мусора,0.8802643,
отсутствие электричества,отключение электричества в районе,0.88024956,
запрет на пиротехнику,запрет тонировки,0.88019866,
карьера бритни спирс,дороги осипенко/репин,0.88019013,
кассовые сборы фильма «чебурашка 2»,"сборы фильма ""чебурашка 2"", повышение цен",0.8801859,
информация о богослужении,участие в богослужении,0.8801731,
дтп на тюбинге,ковалевка,0.88015497,
запрет горок,шаурмятни,0.8801333,
отечественное кино,магазины-пятёрочка,0.8801118,
расписание общественного транспорта на рождество,работа общественного транспорта на рождество,0.88011074,
состояние нагорной улицы,состояние дорог и тротуаров,0.8801067,
лучшие времена рф,премьеры в кино,0.8801036,
дед мороз как символ,дед мороз,0.8800645,
безопасность при угрозе,безопасность района,0.88003683,
психологическая помощь,рекомендации психологов,0.8800319,
дорожная обстановка,автодорога,0.88000774,
информация о стоимости свадьбы,стоимость свадьбы в будущем,0.88000715,
площадь советов (ростов-на-дону),"сериал «клуб», вася",0.8799986,
методы противодействия дронам,источник беспилотников,0.87996984,
джефф миллз,перевод говнотечки,0.87996626,
работа мастеров,работа мах,0.8799437,
колхозное водительское мнение,поведение владельцев автомобилей,0.8799175,
празднование рождества в ростове,рождественская ярмарка,0.87989247,
фиксация беспилотных летательных аппаратов,эффективность пво против дронов,0.8798851,
мусор в районе школы искусств,мусор в районе школы,0.87988174,
военные действия против украины,действия украины (нападение),0.879865,
дтп с акцентом под волгодонском,перевод говнотечки,0.87985235,
ситуация с уборкой мусора,вывоз мусора в гэсе,0.87983716,
поведение автора (водителя),поведение автора/издания,0.87980217,
перебои с электричеством,отсутствие электричества у зазулина,0.87980103,
времена 90-х годов,сравнение с 90-ми годами,0.87979865,
карьера бритни спирс,площадь советов (ростов-на-дону),0.87978745,
состояние запорожской улицы,закаты в городе,0.8797769,
политики/общество в мире,политики стран,0.8797696,
насилие над девушками,насилие против женщин,0.8797616,
состояние дороги после уборки,ремонт дороги,0.8797549,
новые шумозащитные конструкции,качество шумозащитных конструкций,0.8797516,
цена на товары/услуги,цена услуг,0.8797342,
рождественский сочельник,рождество христово (праздник),0.87971777,
метод сбора мусора,состояние мусорных контейнеров,0.87970054,
альбом бритни спирс,рекорд кассовых сборов фильма «чебурашка 2»,0.8796866,
закон и его эффективность,законодательство,0.8796725,
зацеперы,гринсайд,0.8796539,
закрытие парка досрочно,закрытие парков раньше времени,0.879641,
поведение водителя «нивы»,водитель автомобиля,0.8795957,
характеристика глав субъектов рф,перевод говнотечки,0.8795904,
действия полиции/властей,поведение сотрудников полиции (pls),0.8795742,
гринсайд,сирены,0.8795625,
загрязнение грунтовых вод,сброс нечистот в реку белекес,0.8795622,
объявление о ракетной опасности,скрытая информация о ракетной опасности,0.87945396,
перебои с электричеством в центре,отключение электричества в районе,0.8794452,
отечественное кино,спектакли московского театра,0.87943465,
возбуждение уголовного дела,расследование уголовного дела,0.8794203,
атака беспилотников на россию,атака украинских беспилотников,0.87939847,
метод сбора мусора,организация вывоза мусора,0.87939805,
профессиональная деятельность автора поста,деятельность автора поста,0.8793879,
распространение мусора,ситуация с уборкой мусора,0.8793827,
поведение петушара,поведение всу,0.8793394,
количество людей,население мероприятия,0.87929475,
данные о рождаемости,рождаемость детей,0.879285,
инцидент на горке,происшествие в краснодаре,0.87928116,
рождественская служба,рождество в краснодаре,0.8792683,
отключение электричества в общагах,отключение электроэнергии на улицах,0.8792659,
концерт ленинграда,электроснабжение жк вест-сайд,0.8792432,
повышение цен на проезд в автобусе,повышение стоимости проезда,0.87923896,
отсутствие электричества в анапе,отсутствие электричества у зазулина,0.8792219,
действия властей казахстана,связь событий с казахстаном,0.87919647,
сбитый беспилотник,беспилотники уничтоженные,0.87916976,
термин водительница в пдд,отечественное кино,0.87916106,
термин водительница в пдд,задержка поезда москва-адлер,0.8791408,
состояние дорог во вoenном городке,состояние дорог в челябинской области,0.8791378,
судьба осужденного,деятельность осужденных,0.87912476,
действия деда мороза,мероприятие деда мороза,0.8791225,
новые правила тонировки,соблюдение правил тонировки,0.8791094,
очистка парковочных карманов,чистка карманов дорог,0.8791057,
рождественский сочельник,рождественская служба,0.87908554,
водитель автомобиля,поведение водителя «ниссана»,0.8790499,
"сериал «клуб», вася",характеристика глав субъектов рф,0.87904346,
дтп на трассе ростов – семикаракорск – волгодонск,состояние дороги на ул. заводской,0.87904143,
анекдот времён ссср,состояние дороги на ул. заводской,0.8790298,
место происхождения агрессора,географическая принадлежность агрессора,0.8789905,
действия гибдд,деятельность зацеперов,0.8789877,
состояние тротуаров,состояние парковки и дороги,0.87896293,
работа коммунальных служб,работа администрации города,0.87894356,
качество уборки снега,уборка снега вокруг тц дуван,0.87892616,
расклейка незаконной рекламы,борьба с расклейщиками объявлений,0.87890446,
возраст водителя,статистика дтп по возрасту водителей,0.87886107,
карьера бритни спирс,задержка поезда москва-адлер,0.8788394,
состояние дорог,состояние парковки и дороги,0.8788192,
сбор налогов,бюджетные меры по сбору налогов,0.8788045,
дроновое нападение,теракты и беспилотники,0.87879777,
коррупция в правоохранительных органах,коррупция в судебной системе,0.8787946,
энергоснабжение в районе,электроснабжение,0.87878054,
событие в магазине,магазины,0.8787739,
уровень жизни в ссср,жизненный уровень,0.8787726,
филипп киркоров,кража сочинца,0.87877154,
участие в концерте киркорова,"титул ""поп-король"" филиппа бедросовича",0.87877095,
состояние областных дорог,городской бор - дорога,0.8787591,
отключение света в центре,отключение света на терской,0.8787479,
страховое покрытие операции,страховая компания,0.87869954,
объявление о беспилотной и ракетной опасности,распространение информации об угрозе беспилотников,0.8786667,
ракетная опасность в ростовской области,ракетная опасность,0.87864935,
рождественская служба,празднование рождества христова,0.87864757,
поведение силовиков при проверке,проверка силовиков,0.8786434,
атаки беспилотниками по россии,атака украинских беспилотников,0.8786087,
участие в концерте киркорова,площадь советов (ростов-на-дону),0.8785975,
подсвечник/антиквариат,кальян,0.8785659,
концерт поп-короля,электроснабжение жк вест-сайд,0.87855387,
альбом бритни спирс,электроснабжение жк вест-сайд,0.8785302,
эффективность уничтожения дронов,беспилотники уничтоженные,0.878515,
зацеперы,подсвечник/антиквариат,0.8784729,
претензии сша на гренландию,геополитическая ситуация в гренландии,0.87845296,
состояние дорог во вoenном городке,состояние нагорной улицы,0.8784463,
меры чиновников,меры правительства,0.878441,
концерт киркорова,кассовые сборы фильма «чебурашка 2»,0.8783988,
опасная горка,грозное явление,0.87839603,
ожидание улучшения ситуации с дорогами,дорожная ситуация,0.8783529,
информация о беспилотниках,действия в рб связанные с беспилотниками,0.8783442,
качество дорог в челябинской области,качество дорожных работ,0.8783394,
благоустройство территории школы,ремонт школы,0.878329,
жк вест-сайд,анекдот времён ссср,0.878314,
участие в концерте любэ,состояние дороги на ул. заводской,0.87830734,
ёлка в екатеринбурге,ёлка на площади в челябинске,0.87830377,
вывоз мусора в городе,организация вывоза мусора,0.87829983,
концерт ленинграда,кинопремьеры 2026 года,0.8782759,
возврат бракованного товара,процедура возврата товара,0.87826383,
водители и автомобили,водитель машины,0.8782581,
взрывы беспилотников,работа пво по сбитым беспилотникам,0.8782542,
поведение трампа,поведение трампа (танец),0.878226,
водители после 60 лет,водители-пенсионеры на старых автомобилях,0.87818056,
дтп,ад,0.87817115,
участие в боевых действиях против россии,действия россии,0.8781186,
ракетная опасность,скрытая информация о ракетной опасности,0.8781161,
качество уборки снега,чистка снега в екатеринбурге,0.8780926,
насилие против женщин,насилие против девушки,0.87808526,
черно-белые зимние кадры,наступление зимы,0.8780814,
безопасность детей на льду,происшествие с детьми на льду,0.87806594,
состояние дороги ростов-волгодонск,маршрут красноярск-москва-геленджик,0.87803566,
состояние трассы екад,состояние дороги плотинка,0.87801945,
празднование рождества,рождественская ярмарка,0.87800646,
карьера бритни спирс,кинопремьеры 2026 года,0.87800217,
состояние дорог,строительство дорожной развязки,0.8779814,
участие в концерте любэ,характеристика глав субъектов рф,0.87797165,
состояние дорог,состояние тротуаров на автолюбителей,0.87793344,
поведение водителя во время дтп,колхозное водительское мнение,0.8779306,
железнодорожные задержки,приостановка движения поездов,0.87791425,
выступление киркорова и пугачевой,крым чей,0.8778975,
"титул ""поп-король"" филиппа бедросовича",участие в концерте любэ,0.8778874,
статус сочи,закат в сочи,0.87788576,
сбитие беспилотников,информация о беспилотной атаке,0.87786245,
задержка поезда москва-адлер,кассовые сборы фильма «чебурашка 2»,0.8777976,
ухудшение качества уборки мусора,уборка мусора,0.87779087,
покупка квартиры в жк ривьера,продажа квартир в жпэ,0.87778974,
криминальные группы,преступники-насильники,0.87778103,
нападение на девушек,насилие над девушками,0.87777764,
пожизненное заключение,рассказы о пожизненном заключении,0.8777334,
дороги осипенко/репин,пересъемка старых фильмов/сказок,0.877725,
объявление беспилотной и ракетной опасности,распространение информации об угрозе беспилотников,0.877721,
налог для холостяков,косвенные налоги,0.8777197,
проблемы с канализацией,проблемы с водоснабжением,0.87769276,
"титул ""поп-король"" филиппа бедросовича",дороги осипенко/репин,0.8776748,
поведение сотрудников гаи,поведение сотрудников угро,0.8776696,
сбитие беспилотников,методы противодействия дронам,0.8776661,
проблема с вывозом мусора,вывоз мусора / подрядчик,0.8776628,
дата празднования рождества у католиков и православных,празднование рождества православными церквями,0.87764764,
переполненные контейнеры и мусор на улицах,состояние мусорных контейнеров,0.87760454,
инцидент на красноармейской улице,красноармейская улица как место события,0.87759894,
презик рядом с мусоркой,вывоз мусора в гэсе,0.87758046,
безопасность на улицах,меры по улучшению безопасности на дорогах,0.87757415,
дорожно-транспортное происшествие,авария на трассе м4,0.87757015,
мусор на контейнерной площадке,вывоз мусора в гэсе,0.877548,
вывоз мусора,зацеперы - подбор мусора вне кабины,0.87752455,
вывоз мусора на лозового,накопление мусора,0.8775238,
система управления мусором,накопление мусора,0.877505,
состояние дорог в челябинске,качество дорог в челябинской области,0.87749106,
карьера бритни спирс,рекорд кассовых сборов фильма «чебурашка 2»,0.8774837,
дтп на трассе семикаракорск-волгодонск,характеристика глав субъектов рф,0.8774812,
авария на базовом переулке,автомобильный инцидент,0.8774668,
состояние города,управление городом,0.8774559,
организация праздника,организация новогодних мероприятий,0.8774407,
тревога жителей региона,уровень тревожности регионов,0.87743586,
кинопремьеры 2026 года,состояние дороги на ул. заводской,0.877433,
поведение родителя (несоблюдение присмотра),поведение родителей агрессора,0.87740505,
ковалевка,жёсткое дтп,0.8773967,
поведение бородача,поведение ослов,0.8773879,
подход к воспитанию детей,воспитание детей ненадлежащим образом,0.87738454,
качество российских фильмов,премьеры в кино,0.87734073,
работа жкх,работа,0.8773402,
полет беспилотников,сбитые беспилотники над башкирией,0.8773259,
дорожная обстановка,состояние тротуаров,0.8773084,
кошки на дереве,кот застрял на дереве,0.8772735,
состояние трассы ростов-волгодонск,дтп на трассе ростов – семикаракорск – волгодонск,0.8772621,
действия полиции/властей,реакция власти на преступление,0.877254,
кража ёлки,кража сочинца,0.8772423,
москва как место проживания,москва,0.87722516,
реакция на нападение,ситуация с нападением,0.8772169,
способ уборки мусора,распространение мусора,0.87717795,
повышение рождаемости,новая модель рождаемости,0.87713575,
невнимательность пешеходов,поведение пешехода,0.87713003,
движение животных к хадыженску,осёл и его перемещение,0.8771244,
клапан двери,состояние двери в подъезде,0.87711453,
действия минобороны,действия минобороны по уничтожению бпла,0.8771075,
авария на базовом переулке,происшествие с машиной,0.8770615,
автодорога,дорожное движение,0.87705016,
выбор песен деда мороза,пение деда мороза,0.8770437,
действия электриков,электроснабжение,0.87700236,
предложение квартир в жк,продажа квартир в жпэ,0.87699383,
общественная ситуация,общественная значимость вопроса,0.87699366,
задержка поезда москва-адлер,дороги осипенко/репин,0.8769914,
порывы ветра,ветер как причина проблем,0.8769723,
метод лечения зубов,услуги имплантации зубов,0.87695146,
ледовый городок екатеринбурга,ледовый дворец,0.8769437,
военные действия против украины,действия украины (атаки бпла),0.8769336,
сбор информации от свидетелей,обращение к свидетелям,0.87691915,
дтп на трассе,дорожная обстановка,0.8768564,
поведение автора комментария - отсутствие в обсуждении,поведение автора комментария (сохранение стихов),0.8768342,
цена проезда,стоимость покататься на санках,0.87681454,
коррупция в правоохранительных органах,действия властей/коррупция,0.87679726,
выбор места для съемки,место съемки,0.87679696,
секс как физическая активность,физическая активность во время интимных отношений,0.8767846,
работа пво по сбитым беспилотникам,источник беспилотников,0.8767443,
поведение в рождество,рождественские мероприятия,0.87673455,
беспилотная опасность,беспилотная атака,0.8766879,
внешность филиппа киркорова,образ киркорова,0.87663937,
закрытие ворот в парке,закрытие парка досрочно,0.87662554,
место аварии,адрес места происшествия,0.87662005,
конфликт на дороге,дорожная ситуация,0.8766078,
повышение цен на проезд,повышение цен,0.87657845,
зацеперы,дтп под нижним тагилом,0.87655157,
опасная горка,смертельное дтп,0.87652814,
ёлка в миассе,ёлка в уфе,0.8765212,
электроснабжение жк вест-сайд,маршрут красноярск-москва-геленджик,0.8765143,
судьба собак,спасение собак,0.87651235,
управление городом,действия муниципалитета,0.87649226,
взрывы беспилотников,информация о беспилотной атаке,0.8764773,
повышение цен на продукты и коммунальные услуги,повышение цен на товары,0.87646973,
уничтожение беспилотников пво,источник беспилотников,0.87645745,
выступление артиста и его подтанцовка,первая часть фильма чебурашка,0.87642163,
водители в дтп,водитель автомобиля,0.8764179,
дтп на трассе,состояние дорог в сипайлово,0.8764172,
экономическая политика путина,экономическая политика,0.8764107,
получение информации о беспилотниках,беспилотники и пво,0.87640923,
строительство дорожной развязки,состояние областных дорог,0.8763995,
способ уборки мусора,система управления мусором,0.876387,
штрафы за нарушение пдд,размер штрафа за нарушение тонировки,0.8763604,
состояние дорог во вoenном городке,состояние тротуаров,0.8763346,
вывоз мусора в городе,вывоз мусора на первомайской,0.8763099,
информация о беспилотной атаке,съемка фото/видео при беспилотной атаке,0.87629604,
американский беспилотник,фиксация беспилотных летательных аппаратов,0.87628114,
участие в концерте любэ,спектакли московского театра,0.8762566,
рекламный призыв,маркетинговая кампания,0.8762428,
ситуация с вывозом мусора,ситуация с вывозом мусора в красной поляне,0.8762096,
электроснабжение жк вест-сайд,премьеры в кино,0.87618786,
новогодние праздники,рождественский сочельник и его празднование,0.8761871,
вывоз мусора на лозового,распространение мусора,0.87618375,
дрон сбитый,работа пво по сбитым беспилотникам,0.8761807,
эпатажный образ филиппа киркорова,образ киркорова,0.87615097,
состояние нагорной улицы,состояние тротуара возле администрации,0.876147,
участие в концерте киркорова,переезд в челябинск,0.87614477,
агрессивное поведение мужчины,агрессивное поведение мужчин к женщинам,0.8761416,
маршруты автобусов,маршрут общественного транспорта,0.8761241,
деятельность зацеперов по сбору мусора,проблема вывоза мусора,0.87610626,
коррупция в правоохранительных органах,взяточничество - действия власти,0.87608624,
действия гибдд по проверке,действия инспекторов гибдд,0.8760583,
безопасность детей на льду,инцидент с детьми на льду,0.8760513,
рождество христово (праздник),празднование рождества православными церквями,0.8760347,
распространение информации об угрозе беспилотников,информация о беспилотной атаке,0.87602425,
состояние ледового городка,ледовый городок безопасность,0.87601924,
джефф миллз,"сериал «клуб», вася",0.8760112,
газовые котлы и проблема,работа газового котла,0.8759756,
состояние областных дорог,состояние тротуаров,0.8759693,
тонировка автомобиля,дтп с автомобилем нива,0.8759566,
перехват беспилотников,эффективность пво против дронов,0.8759504,
поведение водителя «нивы»,поведение водителя toyota как нарушителя пдд,0.8759377,
температура на улице,погодные условия,0.87588996,
состояние дорог,качество дорог в челябинской области,0.8758618,
чистка екатеринбурга от снега,метод уборки снега,0.8758577,
решение проблемы мусора,реагирование на проблему сброса нечистот,0.8758381,
условия на дорогах,дорожная обстановка в челябинской области,0.87579846,
матвей,миньетчицы,0.8757561,
состояние трассы ростов-семикаракорск,дтп на трассе ростов – семикаракорск – волгодонск,0.87574327,
меры против коррупции,коррупция и растраты бюджетных средств,0.87573147,
поведение водителя во время дтп,поведение водителя «ниссана»,0.8757211,
кинопремьеры 2026 года,первая часть фильма чебурашка,0.8757038,
транспорт в ростове,новый краснодар и транспортная инфраструктура,0.87570024,
стоимость билетов,цена проезда,0.87568873,
беспилотный летательный аппарат (бпла) и его уничтожение,взрывы беспилотников,0.8756753,
штрафы за тонировку,выдача штрафа,0.8756553,
автомобили из каршеринга,дтп с автомобилем нива,0.87561494,
состояние дорог,качество дорог,0.87560785,
