object_1,object_2,similarity,connection
расходы на свадьбу,стоимость свадьбы,0.9791066,duplicate
фирма по вывозу мусора,работа компании по вывозу мусора,0.9790898,similar_not_duplicate
агрессивное поведение мужчин к женщинам,агрессия мужчин к женщинам,0.97879267,duplicate
рейтинг влияния глав субъектов РФ,место в рейтинге влияния глав субъектов РФ,0.97870517,duplicate
отключение электричества в ЖК Вест-Сайд,перебои с электричеством в ЖК Вест-Сайд,0.97854775,duplicate
новогодние праздники,новогодние гулянья,0.9785178,similar_not_duplicate
процесс развода с медиацией,медиация при разводе,0.9781097,duplicate
предложение о покупке платья за 100 руб,покупка платья за 100 рублей,0.978027,duplicate
празднование Рождества,Рождественский сочельник и его празднование,0.97779447,not_duplicate
закрытие парка досрочно,закрытие парка в неурочное время,0.97768766,duplicate
труд коммунальщиков в экстремальных условиях,труд коммунальщиков в экстренных условиях,0.97765625,duplicate
перебои с электричеством,частые перебои с электричеством,0.97757816,duplicate
состояние железнодорожной инфраструктуры,железнодорожная инфраструктура,0.97743464,duplicate
кинопремьера Одесия,концерт группы «ИНДИИД»,0.9772904,not_duplicate
падение дерева,падающие деревья,0.9767317,duplicate
реклама,рекламная акция,0.9762236,similar_not_duplicate
состояние дорог после уборки снега,состояние дорог после снегопада,0.9761218,not_duplicate
концерт Филиппа Киркорова,кинопремьера Одесия,0.9761105,not_duplicate
реализация проекта метро в Краснодаре,строительство метро в Краснодаре,0.97592175,duplicate
страшное ДТП,Жёсткое ДТП,0.97568154,duplicate
запирание в парке беременной девушки,запирание беременной в парке,0.9756734,duplicate
распространение искусственного интеллекта,внедрение искусственного интеллекта,0.9756213,not_duplicate
способ уборки мусора,уборка мусора,0.97557366,not_duplicate
ДТП с жертвами детей,ДТП с погибшими детьми,0.975568,duplicate
помойка после НГ,уборка после НГ,0.97549534,not_duplicate
концерт Ленинграда,спектакли Московского театра,0.9754407,not_duplicate
бездействие властей,бездействие властей/бригад,0.9754201,duplicate
качество продукции,товар качество,0.97523654,duplicate
событие в ресторане,мероприятие в ресторане,0.9751998,duplicate
процесс возврата товара,процедура возврата товара,0.9751787,duplicate
ДТП с погибшими детьми,гибель детей в ДТП,0.97516865,duplicate
рост цен на продукты,повышение цен на продукты питания,0.9751031,duplicate
порывы ветра,ветер,0.97491944,similar_not_duplicate
выступление Деда Мороза с песней,пение Деда Мороза,0.9747899,duplicate
поведение общества,общество и его поведение,0.97450316,duplicate
решение проблемы вывоза мусора,проблема вывоза мусора,0.97446895,not_duplicate
состояние дорог в Челябинской области,дорожная обстановка в Челябинской области,0.97436064,duplicate
задержка поездов,задержки пассажирских поездов,0.9743333,not_duplicate
чистка карманов на дорогах,чистка дорог в карманах,0.97424656,duplicate
работа администрации города,работа мэрии,0.97423613,duplicate
поведение Трампа,поведение Дональда Трампа,0.9739525,duplicate
Рождественская служба,Рождественские богослужения,0.9739307,duplicate
состояние дорог после таяния снега,состояние дорог после уборки снега,0.9739168,not_duplicate
поджог детей,сжигание детей,0.97383523,duplicate
питание ребенка,детское питание,0.9734037,not_duplicate
введение ГОСТа на шаурму,внедрение ГОСТа на шаурму,0.9733845,duplicate
обучение пенсионеров удалёнке,удалённое обучение пенсионеров,0.973282,duplicate
прикорм у детей,прикорм для детей,0.9732816,duplicate
судебное решение,решение суда,0.9732018,duplicate
действия полиции,поведение полиции,0.9731723,not_duplicate
точность данных о рождаемости,точность статистики рождаемости,0.97297823,duplicate
задержки пассажирских поездов,задержка поезда и условия для пассажиров,0.9729045,not_duplicate
исполнение Филиппа Киркорова,деятельность Филиппа Киркорова,0.97242934,similar_not_duplicate
информация о беспилотниках,получение информации о беспилотниках,0.9724132,duplicate
стоимость свадьбы,средние затраты на свадьбу,0.97234976,not_duplicate
закон о штрафах за тонировку,новый закон о штрафах за тонировку,0.9723227,duplicate
информация в посте,информация из поста,0.97224176,duplicate
метод уборки снега,уборка снега грейдером,0.971937,not_duplicate
расположение выставки,место проведения выставки,0.97191006,duplicate
Участие Филиппа Киркорова в концерте,Филипп Киркоров на концерте,0.97183025,duplicate
ситуация с уборкой мусора,уборка мусора,0.9716986,duplicate
дорога Ростов-Семикаракорск-Волгодонск,состояние дороги Ростов-Волгодонск,0.97166914,not_duplicate
ремонт летающей тарелки,реставрация летающей тарелки,0.97149295,duplicate
посыпание дорог зимой,состояние дорог зимой,0.97147554,not_duplicate
концерт Филиппа Киркорова,первая часть фильма Чебурашка,0.97125727,not_duplicate
затраты на свадьбу,средние затраты на свадьбу,0.9712552,not_duplicate
ДТП на Базовом переулке,авария на Базовом переулке,0.97121537,duplicate
ДТП,Жёсткое ДТП,0.97107697,duplicate
повышение цен на продукты,повышение цен на продукты питания,0.9710688,duplicate
погибшие в ДТП,ДТП с погибшими,0.97096896,duplicate
уборка снега,метод уборки снега,0.9708742,not_duplicate
действия чиновников,меры чиновников,0.9708289,duplicate
дорожно-транспортное происшествие,ДТП на трассе,0.97081953,not_duplicate
кассовые сборы фильма «Чебурашка 2»,рекорд кассовых сборов фильма «Чебурашка 2»,0.970563,duplicate
празднование Рождества,рождественские мероприятия,0.9704452,duplicate
ДТП под Нижним Тагилом,смертельное ДТП под Нижним Тагилом,0.97026646,duplicate
контактный зоопарк,контактный зоопарк специализация на хаски,0.97023904,duplicate
продажа просроченных продуктов,продажа просроченных товаров,0.9702227,not_duplicate
правовая защита женщин при разводе,правовые гарантии женщин при разводе,0.9701811,duplicate
отсутствие электричества в районе,отсутствие электричества в населенных пунктах,0.9700764,not_duplicate
повышение цен на товары,частое повышение цен на товары,0.97001445,not_duplicate
введение штрафов за тонировку,новые штрафы за тонировку,0.9700032,duplicate
информация о мониторинге береговой линии,мониторинг береговой линии,0.9699901,not_duplicate
дорожная обстановка,дорожная ситуация,0.9699844,duplicate
состояние трассы Ростов-Семикаракорск,состояние дороги Ростов-Волгодонск,0.9699415,not_duplicate
призыв к подписке,призыв подписаться,0.9698589,duplicate
место аварии,место инцидента,0.96984696,duplicate
национальный проект ремонта школ,ремонт школы в рамках национального проекта,0.9698322,not_duplicate
дорожная обстановка в Челябинской области,состояние дорог в Челябинске,0.9695748,not_duplicate
введение ГОСТа на шаурму,введение ГОСТа на шаверму,0.9695443,duplicate
дорожно-транспортное происшествие,авария на трассе,0.969454,not_duplicate
чистка Екатеринбурга от снега,чистка снега в Екатеринбурге,0.96938396,duplicate
рассказ о пожизненно осужденных,рассказы о пожизненном заключении,0.96932065,not_duplicate
электричество в ЖК Вест-Сайд,электроснабжение ЖК Вест-Сайд,0.96931326,duplicate
введение штрафов за тонировку,закон о штрафах за тонировку,0.9692593,duplicate
чистка карманов дорог,чистка дорог в карманах,0.96923566,duplicate
количество сбитых БПЛА,количество перехваченных БПЛА,0.9692212,not_duplicate
проблема с вывозом мусора,решение проблемы вывоза мусора,0.96917355,not_duplicate
рекламный призыв,рекламная акция,0.96901226,not_duplicate
расходы на свадьбу,средние затраты на свадьбу,0.96896255,not_duplicate
поведение водителей,поведение водителя (Акцента),0.9685839,not_duplicate
ДТП,ситуация ДТП,0.968511,duplicate
состояние трассы Ростов-Семикаракорск,состояние трассы Ростов-Волгодонск,0.9683992,not_duplicate
смертельное ДТП на дороге,смертельное ДТП,0.9683873,duplicate
ситуация в регионе,обстановка в регионе,0.9680561,duplicate
концерт Киркорова,концерт Ленинграда,0.96776515,not_duplicate
кинопремьера Одесия,концерт Ленинграда,0.96774703,not_duplicate
соблюдение закона о тишине,закон о тишине,0.9676063,similar_not_duplicate
фашизм в России,Россия как фашистская страна,0.96755844,duplicate
проект строительства метро в Краснодаре,строительство метро на ул.Крупской,0.9675572,not_duplicate
проект Нового Краснодара,реализация проекта Нового Краснодара,0.96748626,duplicate
концерт Филиппа Киркорова,концерт Ленинграда,0.9673945,not_duplicate
закрытие парков на ночь,закрытие парка ночью,0.96737635,duplicate
реклама в канале,реклама каналов,0.96712655,not_duplicate
закрытие парка в неурочное время,закрытие парка до официального времени,0.9667724,duplicate
досрочное закрытие парка Пушкина,закрытие парка Пушкина,0.96666425,duplicate
повышение цен на питьевую воду,повышение цен на воду,0.96660084,not_duplicate
Рождество Христово (праздник),празднование Рождества Христова,0.9665758,duplicate
расписание транспорта на Рождество,расписание общественного транспорта на Рождество,0.9664122,duplicate
состояние тротуаров,состояние дорог и тротуаров,0.96633863,not_duplicate
безопасность улицы Красноармейская,меры безопасности на улице Красноармейской,0.9661185,not_duplicate
воспитание детей,подход к воспитанию детей,0.96609145,not_duplicate
ДТП с погибшими детьми,ДТП с погибшими детьми и взрослыми,0.9660672,not_duplicate
роль СМИ в освещении проблем,освещение проблемы через СМИ,0.96588933,duplicate
состояние дорог,состояние дорог и тротуаров,0.9658708,not_duplicate
предложение помощи подруге,помощь подруге,0.96586806,not_duplicate
работа коммунальщиков в экстремальных условиях,труд коммунальщиков в экстренных условиях,0.96579975,duplicate
строительство Калины,строительство развязки у Калины,0.9657551,not_duplicate
статистика ДТП по возрасту водителей,статистика ДТП с пожилыми водителями,0.96567,not_duplicate
рекламный призыв,реклама,0.9656632,similar_not_duplicate
мебельная компания,деятельность мебельной компании,0.96563435,similar_not_duplicate
дорожно-транспортная ситуация,дорожная ситуация,0.9656292,duplicate
дорога Ростов-Семикаракорск-Волгодонск,состояние трассы Ростов-Семикаракорск,0.9656244,not_duplicate
рекламная акция,рекламная кампания,0.9655679,duplicate
поведение водителей,поведение водителей на дороге,0.96551883,similar_not_duplicate
качество дорожных работ,качество работ по обслуживанию дороги,0.96546793,not_duplicate
размер штрафа за нарушение тонировки,штраф за нарушение тонировки,0.9654169,duplicate
строительство ЖК Вест-Сайд,электричество в ЖК Вест-Сайд,0.9652659,not_duplicate
место аварии,Место ДТП,0.9650405,duplicate
детские игры 90-х,детские игры/забавы 80-х/90-х,0.9650369,not_duplicate
ДТП с погибшими,смертельное ДТП,0.9650265,duplicate
вырубленный свет,перебои со светом,0.96498084,duplicate
первая часть фильма Чебурашка,концерт группы «ИНДИИД»,0.9647863,not_duplicate
поведение агрессора,агрессивное поведение,0.9645387,duplicate
электроснабжение ЖК Вест-Сайд,падение обломков БПЛ,0.96453327,not_duplicate
концерт Ленинграда,характеристика глав субъектов РФ,0.96449876,not_duplicate
применение статьи УК РФ,применение УК РФ,0.9642941,duplicate
ЖК Вест-Сайд,концерт группы «ИНДИИД»,0.96427613,not_duplicate
опасность из-за атаки беспилотников,угроза беспилотной опасности,0.9641227,duplicate
концерт Филиппа Киркорова,концерт группы «ИНДИИД»,0.9640841,not_duplicate
закрытие ресторана Бен Холл,электроснабжение ЖК Вест-Сайд,0.964039,not_duplicate
атеизм как мировоззрение,атеизм как форма веры,0.96401083,not_duplicate
обязательная медиация перед разводом,обязательная процедура медиации при разводе,0.96394414,duplicate
обязательная медиация при разводе,медиация при разводе,0.9639372,not_duplicate
новое правило о штрафах за тонировку,новые штрафы за тонировку,0.963896,duplicate
Новый Краснодар и транспортная инфраструктура,транспортная инфраструктура Краснодара,0.96386385,not_duplicate
закрытие ресторана Бен Холл,концерт группы «ИНДИИД»,0.96384484,not_duplicate
поведение водителей на дороге,поведение водителей за рулем,0.9638386,duplicate
работа медиков скорой помощи,работа скорой помощи,0.96379864,duplicate
решение проблемы вывоза мусора,решение проблемы мусора,0.9637811,duplicate
высокие затраты на свадьбу,затраты на свадьбу,0.96376216,duplicate
автомобильный инцидент,происшествие с машиной,0.963675,duplicate
влияние фастфуда на мозг,фастфуд и его вред для мозга,0.963611,duplicate
причина пожара на 25-м этаже,пожар на 25-м этаже,0.96358407,not_duplicate
меры безопасности,обеспечение безопасности,0.96354467,duplicate
реклама,наличие рекламы,0.9634689,duplicate
первая часть фильма Чебурашка,фильм Волшебник Изумрудного города,0.96344,not_duplicate
поведение нарушающих ПДД,поведение нарушителей ПДД,0.96340626,duplicate
введение штрафов за тонировку,введение новых штрафов за тонировку,0.96333516,duplicate
электроснабжение ЖК Вест-Сайд,концерт группы «ИНДИИД»,0.96331716,not_duplicate
кинопремьера Одесия,первая часть фильма Чебурашка,0.96323776,not_duplicate
новое правило о штрафах за тонировку,введение штрафов за тонировку,0.96315295,duplicate
электроснабжение ЖК Вест-Сайд,первая часть фильма Чебурашка,0.96313834,not_duplicate
электричество в ЖК Вест-Сайд,перебои с электричеством в ЖК Вест-Сайд,0.9631045,similar_not_duplicate
взяточничество - действия власти,действия властей/коррупция,0.9630848,duplicate
поведение автора комментария,поведение автора комментария (сохранение стихов),0.9630288,similar_not_duplicate
избиение девушки,факт избиения девушки,0.96301115,duplicate
городской общественный транспорт,общественный транспорт,0.96295345,not_duplicate
место происшествия,место инцидента,0.9629418,duplicate
Филипп Киркоров,деятельность Филиппа Киркорова,0.96291417,similar_not_duplicate
кинопремьера Одесия,характеристика глав субъектов РФ,0.9628509,not_duplicate
Геополитическая ситуация в Гренландии,политическая ситуация вокруг Гренландии,0.96279544,duplicate
захват Гренландии США,возможный захват Гренландии США,0.96270967,not_duplicate
мероприятие Деда Мороза,песня Деда Мороза,0.96260226,similar_not_duplicate
закрытие ресторана Бен Холл,строительство ЖК Вест-Сайд,0.9625678,not_duplicate
угроза атаки БПЛА,опасность атаки БПЛА,0.9625249,duplicate
кинопремьера Одесия,концерт Киркорова,0.96244586,not_duplicate
концерт Филиппа Киркорова,управление Нового Краснодара,0.9623777,not_duplicate
повышение цен/эксплуатация,повышение цен,0.9623143,not_duplicate
ДТП с погибшими,смертельный исход ДТП,0.96227837,duplicate
поведение участников ДТП,поведение жертв ДТП,0.962266,not_duplicate
Не указан четко,Не указано явно,0.9621887,duplicate
работа коммунальщиков в экстремальных условиях,работа коммунальных служб в экстремальных условиях,0.96213794,duplicate
Крым,Крым чей,0.962024,similar_not_duplicate
современное искусство,новое направление современного искусства,0.9619892,not_duplicate
религиозное событие,религиозное мероприятие,0.9619329,duplicate
действия пожарных по тушению,работа пожарных,0.96193033,similar_not_duplicate
введение новых штрафов за тонировку,новый закон о штрафах за тонировку,0.9619244,duplicate
свадьба как мероприятие,проведение свадебных торжеств,0.9618651,duplicate
действия спасателей,помощь спасателей,0.96186185,duplicate
первая часть фильма Чебурашка,пересъемка старых фильмов/сказок,0.9616866,not_duplicate
мусор на контейнерной площадке,состояние мусорных контейнеров,0.96165764,not_duplicate
концерт Ленинграда,концерт группы «ИНДИИД»,0.96152824,not_duplicate
кинопремьера Одесия,электроснабжение ЖК Вест-Сайд,0.9615066,not_duplicate
наказание за оскорбление губернатора,судебное решение - наказание за оскорбление губернатора,0.9614918,duplicate
проблема с чисткой проездов в карманах,чистка проездов в карманах,0.9614679,not_duplicate
концерт Киркорова,управление Нового Краснодара,0.961449,not_duplicate
действия зацеперов,деятельность зацеперов,0.9613421,duplicate
характеристика глав субъектов РФ,концерт группы «ИНДИИД»,0.9613418,not_duplicate
концерт Ленинграда,ЖК Вест-Сайд,0.96123743,not_duplicate
концерт Филиппа Киркорова,электроснабжение ЖК Вест-Сайд,0.961173,not_duplicate
электроснабжение ЖК Вест-Сайд,характеристика глав субъектов РФ,0.9611342,not_duplicate
работа системы блокировки ботов,блокировка ботов,0.9610866,duplicate
чистка карманов на улице Ленина,очистка проездов в карманах на улице Ленина,0.9610114,duplicate
новое правило о штрафах за тонировку,новый закон о штрафах за тонировку,0.96095484,duplicate
действия полиции,действия полиции/властей,0.96090806,duplicate
ледовый городок Екатеринбурга,ледовый рокерский городок Екатеринбурга,0.9608806,not_duplicate
сбитие беспилотников,сбитый беспилотник,0.9608617,not_duplicate
сериал Полиция Дели,концерт группы «ИНДИИД»,0.96083856,not_duplicate
работа автора,деятельность автора,0.9607823,duplicate
долг за лечение и хранение тела,долг за лечение и тело,0.96071684,duplicate
поведение женщины,поведение женщины в ПВЗ,0.96069837,similar_not_duplicate
выбросы мазута на побережье,загрязнение мазутом побережья,0.960613,duplicate
поведение водителей,поведение водителей (ДТП),0.96054673,similar_not_duplicate
время начала причастия в храме,время проведения причастия в храме,0.960499,duplicate
ЖК Вест-Сайд,характеристика глав субъектов РФ,0.9604858,not_duplicate
меры по улучшению безопасности на дорогах,безопасность на дорогах,0.96044225,not_duplicate
энергоснабжение населенных пунктов,энергоснабжение в районе,0.96035385,not_duplicate
управление Нового Краснодара,характеристика глав субъектов РФ,0.96034855,not_duplicate
ДТП с жертвами детей,гибель детей в ДТП,0.9602722,duplicate
высокая стоимость свадьбы,затраты на свадьбу,0.960232,duplicate
строительство ЖК Вест-Сайд,концерт группы «ИНДИИД»,0.9602043,not_duplicate
сбитые беспилотники в Башкирии,сбитые беспилотники над Башкирией,0.96018124,duplicate
концерт Ленинграда,первая часть фильма Чебурашка,0.9601381,not_duplicate
работа пенсионеров на удалёнке,работа пенсионеров,0.9601332,not_duplicate
уборка снега,уборка снега грейдером,0.9599408,not_duplicate
высокая стоимость свадьбы,стоимость свадьбы,0.95989937,duplicate
участие в концерте Киркорова,концерт Киркорова,0.9598487,duplicate
ограничения мобильной связи,ограничения мобильного интернета,0.95982975,not_duplicate
поджог кустов детьми,сжигание детей,0.9596262,not_duplicate
туристический наплыв в Москву,наплыв туристов в Москву,0.95960426,duplicate
строительство ЖК Вест-Сайд,первая часть фильма Чебурашка,0.9595834,not_duplicate
повторяющиеся проблемы ЖК Вест-Сайд,проблемы в ЖК Вест-Сайд,0.9594242,not_duplicate
сериал Полиция Дели,первая часть фильма Чебурашка,0.95941895,not_duplicate
новогодние праздники,празднование Рождества и Нового года,0.9594182,not_duplicate
мероприятие Филиппа Киркорова,концерт Филиппа Киркорова,0.9593855,similar_not_duplicate
действия инспекторов ГИБДД,концерт группы «ИНДИИД»,0.95935863,not_duplicate
выбор красивой даты для свадьбы,выбор дат для свадеб,0.9593543,not_duplicate
застройка в Краснодаре,строительство в Новом Краснодаре,0.9593361,not_duplicate
пропажа Милы Яковлевой,пропажа Милены Яковлевой,0.9593246,duplicate
ДТП,страшное ДТП,0.95922124,duplicate
Рождество Христово,празднование Рождества Христова,0.9592045,duplicate
кинопремьера Одесия,"сериал «Клуб», Вася",0.9592042,not_duplicate
выступление Деда Мороза,пение Деда Мороза,0.959194,similar_not_duplicate
новое правило о штрафах за тонировку,закон о штрафах за тонировку,0.9589931,duplicate
"сериал «Клуб», Вася",концерт группы «ИНДИИД»,0.95896554,not_duplicate
безопасность в ДТП,безопасность пассажиров в ДТП,0.9589306,not_duplicate
работа администрации города,действия администрации города,0.95889485,duplicate
поведение аудитории,поведение публики,0.9588894,duplicate
концерт Филиппа Киркорова,характеристика глав субъектов РФ,0.958875,not_duplicate
строительство дорожной развязки,строительство дорог и развязок,0.95882607,not_duplicate
повышение цен/эксплуатация,рост цен,0.9588188,not_duplicate
установка камер в раздевалках,камеры в раздевалках,0.95878786,duplicate
выступление Деда Мороза с песней,выступление Деда Мороза,0.9587852,similar_not_duplicate
метод сбора мусора,уборка мусора,0.9587432,similar_not_duplicate
метод сбора мусора,способ уборки мусора,0.9587159,duplicate
новые шумозащитные конструкции,шумозащитные конструкции,0.9584577,not_duplicate
поджог кустов детьми,поджог детей,0.9584528,not_duplicate
деревья прилегающие к проводам,дерево на проводах,0.9584494,not_duplicate
счет за квартиру,счет за квартплату,0.95843303,duplicate
новое правило о медиаторах при разводе,новое правило с медиаторами при разводе,0.95842487,duplicate
повышение цен,повышение цен на товары,0.9584209,not_duplicate
поведение автора,поведение автора (водителя),0.9583809,similar_not_duplicate
выбор красивой даты для свадьбы,выбор даты свадьбы,0.95837927,duplicate
посещение концерта Филиппа Киркорова,Участие Филиппа Киркорова в концерте,0.9583363,not_duplicate
штрафы за неправильную тонировку,штраф за нарушение тонировки,0.95817316,duplicate
Рождественский Сочельник,Рождественский сочельник и его празднование,0.9581107,duplicate
состояние дорог,условия на дорогах,0.9580772,duplicate
поведение детей,поведение детей (вредительство),0.9580054,similar_not_duplicate
закрытие ресторана Бен Холл,первая часть фильма Чебурашка,0.95798385,not_duplicate
состояние дороги во время ремонта,ремонт дороги,0.95798147,not_duplicate
страшное ДТП,смертельное ДТП,0.95796514,duplicate
метод сбора мусора,Метод утилизации мусора,0.9578986,not_duplicate
отключение электричества в ЖК Вест-Сайд,Проблемы ЖК Вест-Сайд,0.95789206,not_duplicate
цены на билеты,ценник на билеты,0.9578865,duplicate
расходы на свадьбу,высокие затраты на свадьбу,0.95787764,duplicate
состояние здоровья автора поста,здоровье автора поста,0.95786875,duplicate
Действия по защите побережья от мазута,меры защиты побережья,0.9578239,duplicate
дорожная безопасность,меры по улучшению безопасности на дорогах,0.95770943,not_duplicate
кинопремьера Одесия,ЖК Вест-Сайд,0.9576835,not_duplicate
дорожно-транспортное происшествие,Жёсткое ДТП,0.9575636,duplicate
прикорм у детей,детское питание,0.95747995,not_duplicate
поведение властей,действия властей,0.9573376,duplicate
ситуация в ЖК Вест-Сайд,проблемы в ЖК Вест-Сайд,0.95728165,duplicate
строительство ЖК Вест-Сайд,характеристика глав субъектов РФ,0.95716596,not_duplicate
